Name ,Description,Latitude,Longitude,InfoURL,ImageURL
"University of California, Santa Barbara ","UCSB is a public research university in Santa Barbara, California. This university is 1  of the 10 campuses under the Univerity of California system. This beautiful campus is located along the cliffs next to the Pacific Ocean. It is one of the few campuses in the US that has its beach. ",34.414075,-119.845991,"https://en.wikipedia.org/wiki/University_of_California,_Santa_Barbara",https://zaretskyengineeringsolutions.com/images/USCB%20Home.jpg
"Mendenhall Glacier Caves, Alaska","13.6 miles of a glacier that is located in Mendenhall Valley. This retreating glacier has formed the lake that is known as the Mendenhall Lake. This location is known as one of the  ""rivers of ice"". This glacier was formed during the Little Ice Age that occurred 3,000 years ago. You can go to this location where you can walk on the land that was once under ice decades ago. There is an annual snowfall of over 100 feet which is crucial to prevent the melting of the glacier. ",58.419227,-134.545811,https://alaskatrekker.com/alaska-glaciers/mendenhall-glacier/,"https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/glacier-ice-cave-royalty-free-image-525908227-1550774650.jpg?crop=1xw:1xh;center,top&resize=980:*"
"Lake Tahoe, United States ","The Sierra Nevada Mountains encompass Lake Tahoe. The clear waters allow someone to be able to see up to 70 feet deep. This large freshwater lake has an average depth of 1,000 ft(300m) and a maximum depth of 1,645 ft(501m). This lake lies on the border of California and Nevada. This incredible location is known for its clear waters and the panoramic view of the surrounding mountains.",39.111271,-120.030507,https://www.countryliving.com/life/travel/g3468/most-beautiful-places-in-america/,https://thumbor.forbes.com/thumbor/711x419/https://blogs-images.forbes.com/trevornace/files/2018/04/lake-tahoe-snow-2.jpg?width=960
"Machu Picchu, Peru ","This archeological gem was built starting in 1450 to about 1460. Most of the Inca civilizations were destroyed by the Spanish conquest and therefore Machu Picchu is one of the most preserved Inca Civilizations. ""Machu Picchu"" means ""Old Peak” or ""Old Mountain"", according to the Quechua Indian language. The building was made out of just stones with a technique called ashlar where no cracks are left open. In order to build with stones that weighed around 50 pounds men had to push and carry these stones without any wheels to transport them. This is a location where you admire the architecture and history of that location.   This location is referred to as the ""Lost City of the Incas"".",-13.162943,-72.544952,https://www.worldwildlife.org/blogs/good-nature-travel/posts/ten-interesting-facts-about-machu-picchu,"https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/hbz-machu-ppichu-gettyimages-629556601-1505338681.jpg?crop=1xw:1xh;center,top&resize=980:*"
"Venice, Italy","This unique floating city is the capital of the Veneto region. It has no roads and is composed of old canals which are used for transportation. The city was built on 118 islands located at the head of the Adriatic Sea.  From the beginning, the city was built on dirt and mud which over time squeezed out the water from the compacted soil.  ",45.453168,12.318743,https://www.livitaly.com/how-was-venice-built/,"https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/hbz-venice-gettyimages-489741024-1505338894.jpg?crop=1xw:1xh;center,top&resize=980:*"
"Cinque Terre, Italy ",Cinque Terre stands for five lands which represent the 5 towns that have incredible seaside views and colorful houses. You can travel to all 5 islands by train which is the quickest way.  An alternative form of traveling through is by hiking which is an unforgettable experience. It could be a challenge in some parts but the breathtaking views and immersion with nature make the trip unique.,44.129125,9.711268,https://www.lonelyplanet.com/articles/italys-fabulous-five-planning-your-visit-to-the-cinque-terre,"https://cdn.shortpixel.ai/client/q_glossy,ret_img,w_1000/https://www.nickkembel.com/wp-content/uploads/2019/02/manarola-cinque-terre.jpg"
"Tulum, Mexico ","This own is located on the Caribbean coastline of Mexico's Yucatan Peninsula. It is known for its stunning beaches. It is home to the world's largest natural aquarium. There is a wide variety of activities that one could participate in from snokeling to ziplining, to cliff jumping. ",20.211706,-87.467755,https://www.tulum.com,"https://res.cloudinary.com/sagacity/image/upload/c_crop,h_2493,w_5000,x_0,y_0/c_limit,dpr_auto,f_auto,fl_lossy,q_80,w_1080/1216-mexico-feature-tulum-beach_ext3fq.jpg"
"Mazatlan, Mexico ","Mazatlan is in the state of Sinaloa. It is known for having the largest natural lighthouse in the world and its 21km-long Malecon. It is known as ""La Perla del Pacifico"" that attracts its visitors because of the famous carnival that occurs every year because of its unique coast. This location is known as a location where ""banda"" is played the most. ",23.247969,-106.410946,https://en.wikipedia.org/wiki/Mazatl%C3%A1n,https://afar-production.imgix.net/uploads/syndication/holland_americas/images/ocgWjQ4phg/original_N67-889597hero.jpg?w=750&h=563&fit=crop
"Santorini, Greece","The entire Santorini islands are still considered an active volcano. Interestingly enough they are the only volcano in the world where its crater is in the sea. The islands went through 12 known huge eruptions every 20,000 years. About 3,6000 years ago the last big eruption occurred causing the extinction of the local prehistoric civilization that existed that inhabited the land. Santorini is one of the youngest volcanic lands in the Mediterranean and had beaches covered in volcanic pebbles with a multitude of colors. ",36.408532,25.460914,http://www.visitgreece.gr/en/greek_islands/santorini,https://static.independent.co.uk/s3fs-public/thumbnails/image/2017/05/12/16/santorini.jpg?w968h681
"Phuket,Thailand","The picture-perfect location where you can go hiking, visit gardens and temples is the largest island in Thailand. The large Phuket buddha is 148 feet tall of pure marble. 70% of the island is composed of mountains from North to South. The island celebrates Loy Krathong during November where flowers, incents, and leaves are placed into the water to pay respects to the Goddess of Water and the river spirits.",7.952789,98.337949,https://www.thefactsite.com/phuket-facts/,https://images.squarespace-cdn.com/content/v1/5b64e72a697a986e56a36a93/1557790140382-3KQ6ZOXLIL6EJ5I0R4TO/ke17ZwdGBToddI8pDm48kKG6OoQUcDwE6Xrn0CktdYIUqsxRUqqbr1mOJYKfIPR7LoDQ9mXPOjoJoqy81S2I8N_N4V1vUb5AoIIIbLZhVYxCRW4BPu10St3TBAUQYVKc7wdBxA2FfWIL_oInLxCuGYBExGLaY8v4Pn7yFeMELUKe4DQXRx1Bu1AnCO9mIfj2/big-buddha-phuket-thailand-86482-ws.jpg?format=2500w
"Dublin, Ireland ",The capital of Ireland is Dublin a place full of history. The Dublin castle dating back to the 13th century and St. Patrick's cathedral founded in 1191 both hold centuries of history. There are hiking trails that will suit every level. You can plan a day to go for a swim in the Irish sea or to watch a sporting event such as Rugby. f your one to see the city there are a variety of transportation options such so which every street you want to cycle through enjoy the culture this location holds. ,53.347695,-6.267002,https://www.visitdublin.com,https://images.adsttc.com/media/images/5bd6/fd00/f197/ccaa/4a00/027c/newsletter/shutterstock_1116656705.jpg?1540816099
"North Island, New Zealand ","Flying through the air, or relaxing in the Rotorua waters New Zealand will suit your vacation needs. Waitomo Caves are located on the North Island where the many limestone caves have galaxies of glowworms inside that illuminate the path. If you want to freefall through the sky or go whitewater rafting New Zealand has this available for you to have a thrilling experience. the healing pools are also another place that will provide a relaxing experience in the forest.",-38.921282,175.472877,https://www.newzealand.com/int/feature/11-must-do-north-island-experiences/,https://img.theculturetrip.com/768x432/wp-content/uploads/2016/03/12851496045_7a88671724_o-e1459260176255.jpg
"Paris, France ","The global center for fashion, art, and culture is the major European city of France. The main attraction is the wrought-iron lattice tower known as the Eiffel Tower which was built in 1889. The Louvre Museum is the world's largest art museum and a historic monument. Louvre means wolf which is where the name was derived from since the land was once a forest and the land of wolves. This city holds lots of landmarks that display much of the cities culture. ",48.851631,2.348433,https://en.parisinfo.com,https://europeanbusinessmagazine.com/wp-content/uploads/2017/07/paris.jpg